CVE ID,CVE-Year,Publish Date,Score
CVE-2019-3494,2019,2019-01-01T15:29:00.240,7.5
CVE-2018-20650,2019,2019-01-01T16:29:00.233,6.5
CVE-2018-20651,2019,2019-01-01T16:29:00.343,5.5
CVE-2018-20652,2019,2019-01-01T16:29:00.403,6.5
CVE-2019-3500,2019,2019-01-02T07:29:00.197,7.8
CVE-2019-3501,2019,2019-01-02T13:29:00.283,4.8
CVE-2018-15760,2019,2019-01-02T14:15:09.007,
CVE-2018-15799,2019,2019-01-02T14:15:09.020,
CVE-2018-15802,2019,2019-01-02T14:15:09.053,
CVE-2018-15803,2019,2019-01-02T14:15:09.067,
CVE-2018-17188,2019,2019-01-02T14:29:00.267,7.2
CVE-2018-20657,2019,2019-01-02T14:29:00.313,7.5
CVE-2018-5197,2019,2019-01-02T14:29:00.360,7.8
CVE-2018-20658,2019,2019-01-02T15:29:00.250,7.5
CVE-2019-3572,2019,2019-01-02T15:29:00.330,6.5
CVE-2019-3573,2019,2019-01-02T15:29:00.360,5.5
CVE-2019-3574,2019,2019-01-02T15:29:00.423,7.8
CVE-2018-7900,2019,2019-01-02T16:29:00.217,6.5
CVE-2018-20659,2019,2019-01-02T17:29:00.220,6.5
CVE-2019-3576,2019,2019-01-02T17:29:00.267,9.8
CVE-2019-3577,2019,2019-01-02T17:29:00.300,9.8
CVE-2018-13045,2019,2019-01-02T18:29:00.247,9.8
CVE-2018-14718,2019,2019-01-02T18:29:00.310,9.8
CVE-2018-14719,2019,2019-01-02T18:29:00.387,9.8
CVE-2018-14720,2019,2019-01-02T18:29:00.467,9.8
CVE-2018-14721,2019,2019-01-02T18:29:00.543,10.0
CVE-2018-15490,2019,2019-01-02T18:29:00.653,7.1
CVE-2018-19360,2019,2019-01-02T18:29:00.717,9.8
CVE-2018-19361,2019,2019-01-02T18:29:00.827,9.8
CVE-2018-19362,2019,2019-01-02T18:29:00.933,9.8
CVE-2018-19371,2019,2019-01-02T18:29:01.060,6.5
CVE-2018-19478,2019,2019-01-02T18:29:01.123,5.5
CVE-2018-20100,2019,2019-01-02T18:29:01.230,9.8
CVE-2018-20114,2019,2019-01-02T18:29:01.277,9.8
CVE-2018-20166,2019,2019-01-02T18:29:01.310,8.8
CVE-2018-20211,2019,2019-01-02T18:29:01.373,7.8
CVE-2018-20326,2019,2019-01-02T18:29:01.433,6.1
CVE-2017-14808,2019,2019-01-02T19:15:08.583,
CVE-2017-14809,2019,2019-01-02T19:15:08.600,
CVE-2017-14810,2019,2019-01-02T19:15:08.617,
CVE-2017-14811,2019,2019-01-02T19:15:08.630,
CVE-2017-14812,2019,2019-01-02T19:15:08.647,
CVE-2017-14813,2019,2019-01-02T19:15:08.647,
CVE-2017-14814,2019,2019-01-02T19:15:08.663,
CVE-2017-14815,2019,2019-01-02T19:15:08.677,
CVE-2017-14816,2019,2019-01-02T19:15:08.693,
CVE-2017-14817,2019,2019-01-02T19:15:08.707,
CVE-2018-18264,2019,2019-01-03T01:29:00.270,7.5
CVE-2018-18893,2019,2019-01-03T01:29:00.380,5.3
CVE-2018-20131,2019,2019-01-03T01:29:00.443,7.8
CVE-2019-3580,2019,2019-01-03T01:29:00.490,7.5
CVE-2018-17172,2019,2019-01-03T03:29:00.213,9.8
CVE-2018-20662,2019,2019-01-03T13:29:00.237,6.5
CVE-2018-16879,2019,2019-01-03T14:29:00.197,9.8
CVE-2017-11004,2019,2019-01-03T15:29:00.270,5.5
CVE-2017-18141,2019,2019-01-03T15:29:00.333,7.8
CVE-2017-18319,2019,2019-01-03T15:29:00.413,5.5
CVE-2017-18320,2019,2019-01-03T15:29:00.583,7.8
CVE-2017-18321,2019,2019-01-03T15:29:00.833,5.5
CVE-2017-18322,2019,2019-01-03T15:29:00.867,5.5
CVE-2017-18323,2019,2019-01-03T15:29:00.897,5.5
CVE-2017-18324,2019,2019-01-03T15:29:00.927,5.5
CVE-2017-18326,2019,2019-01-03T15:29:00.960,5.5
CVE-2017-18327,2019,2019-01-03T15:29:00.990,5.5
CVE-2017-18328,2019,2019-01-03T15:29:01.020,7.8
CVE-2017-18329,2019,2019-01-03T15:29:01.067,7.8
CVE-2017-18330,2019,2019-01-03T15:29:01.117,7.8
CVE-2018-16876,2019,2019-01-03T15:29:01.163,5.3
CVE-2018-16870,2019,2019-01-03T16:29:00.227,5.9
CVE-2018-16882,2019,2019-01-03T16:29:00.303,8.8
CVE-2018-16885,2019,2019-01-03T16:29:00.477,4.7
CVE-2019-3701,2019,2019-01-03T16:29:00.553,4.4
CVE-2018-17161,2019,2019-01-03T17:29:00.190,9.8
CVE-2018-14481,2019,2019-01-03T19:29:00.430,6.1
CVE-2018-19414,2019,2019-01-03T19:29:00.523,6.1
CVE-2018-19415,2019,2019-01-03T19:29:00.600,9.8
CVE-2018-19505,2019,2019-01-03T19:29:00.663,6.5
CVE-2018-19523,2019,2019-01-03T19:29:00.757,5.5
CVE-2018-19861,2019,2019-01-03T19:29:00.803,9.8
CVE-2018-19862,2019,2019-01-03T19:29:00.897,9.8
CVE-2018-19992,2019,2019-01-03T19:29:00.977,5.4
CVE-2018-19993,2019,2019-01-03T19:29:01.007,6.1
CVE-2018-19994,2019,2019-01-03T19:29:01.053,8.8
CVE-2018-19995,2019,2019-01-03T19:29:01.087,5.4
CVE-2018-19998,2019,2019-01-03T19:29:01.350,8.8
CVE-2018-20512,2019,2019-01-03T19:29:01.600,9.8
CVE-2018-20663,2019,2019-01-03T19:29:01.633,5.4
CVE-2018-20664,2019,2019-01-03T19:29:01.680,9.8
CVE-2019-3575,2019,2019-01-03T19:29:01.727,7.8
CVE-2019-3905,2019,2019-01-03T19:29:01.757,10.0
CVE-2018-18004,2019,2019-01-03T20:29:00.267,5.3
CVE-2018-18005,2019,2019-01-03T20:29:00.327,6.1
CVE-2018-18244,2019,2019-01-03T20:29:00.373,6.1
CVE-2018-19600,2019,2019-01-03T20:29:00.437,4.8
CVE-2018-19601,2019,2019-01-03T20:29:00.500,9.1
